Unnamed: 0,ID,GENDER,CAR,PROPERTY,NO OF CHILDREN,INCOME TOTAL,INCOME TYPE,EDUCATION TYPE,FAMILY STATUS,HOUSING TYPE,PHONE,EMAIL,OCCUPATION TYPE,FAMILY SIZE,STATUS,AGE
743,5008849,M,Y,Y,0,112500.0,Commercial associate,Secondary,Married,Own House,0,0,Drivers,2,1,56.0
755,5008850,M,Y,Y,0,112500.0,Commercial associate,Secondary,Married,Own House,0,0,Drivers,2,0,56.0
781,5008851,M,Y,Y,0,112500.0,Commercial associate,Secondary,Married,Own House,0,0,Drivers,2,0,56.0
793,5008852,M,Y,Y,0,112500.0,Commercial associate,Secondary,Married,Own House,0,0,Drivers,2,0,56.0
794,5008853,M,Y,Y,0,112500.0,Commercial associate,Secondary,Married,Own House,0,0,Drivers,2,1,56.0
810,5008854,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,0,43.0
812,5008855,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,1,43.0
841,5008856,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,0,43.0
845,5008857,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,1,43.0
873,5008858,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,1,43.0
884,5008859,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,0,43.0
889,5008860,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,0,43.0
893,5008861,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,0,43.0
897,5008862,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,0,43.0
900,5008863,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,0,43.0
902,5008864,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,0,43.0
905,5008865,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,0,43.0
907,5008866,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,0,43.0
909,5008867,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,1,43.0
913,5112846,F,Y,Y,2,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,4,1,43.0
917,5008868,F,N,Y,1,211500.0,State servant,Secondary,Civil marriage,Own House,0,0,Core staff,3,0,44.0
942,5008870,F,N,Y,1,211500.0,State servant,Secondary,Civil marriage,Own House,0,0,Core staff,3,0,44.0
954,5008872,M,Y,Y,0,360000.0,Commercial associate,Secondary,Married,Own House,0,0,Security staff,2,0,45.0
965,5008873,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,Own House,0,1,Managers,4,1,33.0
987,5008874,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,Own House,0,1,Managers,4,1,33.0
1033,5008875,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,Own House,0,1,Managers,4,1,33.0
1073,5008876,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,Own House,0,1,Managers,4,1,33.0
1117,5008877,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,Own House,0,1,Managers,4,1,33.0
1125,5008878,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,Own House,0,1,Managers,4,0,33.0
1137,5008879,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,Own House,0,1,Managers,4,1,33.0
1159,5008880,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,Own House,0,1,Managers,4,1,33.0
1170,5008881,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,Own House,0,1,Managers,4,1,33.0
1190,5008882,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,Own House,0,1,Managers,4,1,33.0
1271,5008888,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,Core staff,1,1,46.0
1277,5008889,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,Core staff,1,0,46.0
1282,5008890,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,Core staff,1,1,46.0
1288,5112847,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,Core staff,1,1,46.0
1294,5008891,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1302,5008892,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1318,5008893,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1355,5008894,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1392,5008895,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1427,5008896,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1443,5008897,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1459,5008898,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1480,5008899,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1496,5008900,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1517,5008901,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1533,5008902,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1554,5008903,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1570,5008904,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1591,5008905,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1607,5008906,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1628,5008907,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1644,5008908,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1665,5008909,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1681,5008910,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1702,5008911,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1718,5008912,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1739,5008913,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1755,5008914,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1774,5008915,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1790,5008916,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1808,5008917,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1824,5008918,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1841,5008919,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1857,5008920,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1873,5008921,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1887,5008922,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1901,5008923,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1914,5008924,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1927,5008925,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1940,5008926,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,0,42.0
1952,5008927,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1962,5008928,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,0,42.0
1972,5008929,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1980,5008930,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,0,42.0
1987,5008931,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
1993,5008932,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,0,42.0
1999,5008933,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
2005,5008934,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
2010,5008935,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
2015,5008936,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
2019,5008937,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
2021,5008938,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
2023,5008939,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
2024,5008940,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
2026,5008941,F,N,Y,0,297000.0,Commercial associate,Secondary,Single,Rented apartment,0,0,Laborers,1,1,42.0
2034,5008942,F,N,N,0,157500.0,Commercial associate,Higher education,Married,Own House,0,0,High skill tech staff,2,1,37.0
2050,5008943,F,N,N,0,157500.0,Commercial associate,Higher education,Married,Own House,0,0,High skill tech staff,2,1,37.0
2065,5008944,F,N,N,0,157500.0,Commercial associate,Higher education,Married,Own House,0,0,High skill tech staff,2,1,37.0
2081,5008945,F,N,N,0,157500.0,Commercial associate,Higher education,Married,Own House,0,0,High skill tech staff,2,1,37.0
2097,5008946,F,N,N,0,157500.0,Commercial associate,Higher education,Married,Own House,0,0,High skill tech staff,2,1,37.0
2113,5008947,M,N,Y,0,135000.0,Working,Secondary,Married,Own House,1,0,Drivers,2,1,42.0
2126,5008948,M,N,Y,0,135000.0,Working,Secondary,Married,Own House,1,0,Drivers,2,1,42.0
2139,5008949,M,N,Y,0,135000.0,Working,Secondary,Married,Own House,1,0,Drivers,2,1,42.0
2140,5008950,M,N,Y,0,135000.0,Working,Secondary,Married,Own House,1,0,Drivers,2,1,42.0
2279,5008955,F,Y,Y,0,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,2,0,48.0
2284,5008956,F,Y,Y,0,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,2,1,48.0
2324,5008957,F,Y,Y,0,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,2,1,48.0
2364,5008958,F,Y,Y,0,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,2,0,48.0
2368,5008959,F,Y,Y,0,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,2,1,48.0
2384,5008960,F,Y,Y,0,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,2,1,48.0
2413,5008962,F,Y,Y,0,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,2,1,48.0
2440,5008963,F,Y,Y,0,135000.0,Working,Secondary,Married,Own House,0,0,Laborers,2,1,48.0
2689,5008981,M,Y,Y,0,112500.0,State servant,Secondary,Married,Own House,0,0,Drivers,2,1,57.0
2700,5008983,M,Y,Y,0,112500.0,State servant,Secondary,Married,Own House,0,0,Drivers,2,1,57.0
2712,5008984,M,Y,Y,0,112500.0,State servant,Secondary,Married,Own House,0,0,Drivers,2,1,57.0
2771,5008986,M,Y,Y,0,112500.0,State servant,Secondary,Married,Own House,0,0,Drivers,2,1,57.0
2782,5008987,M,Y,Y,0,112500.0,State servant,Secondary,Married,Own House,0,0,Drivers,2,1,57.0
2793,5008988,M,Y,Y,0,112500.0,State servant,Secondary,Married,Own House,0,0,Drivers,2,1,57.0
2810,5008991,F,Y,Y,0,270000.0,Working,Secondary,Separated,Own House,1,0,Cleaning staff,1,1,45.0
2839,5008992,F,Y,Y,0,270000.0,Working,Secondary,Separated,Own House,1,0,Cleaning staff,1,1,45.0
2846,5008993,F,Y,Y,0,270000.0,Working,Secondary,Separated,Own House,1,0,Cleaning staff,1,0,45.0
2864,5008994,F,Y,Y,0,270000.0,Working,Secondary,Separated,Own House,1,0,Cleaning staff,1,0,45.0
2884,5008995,F,Y,Y,0,270000.0,Working,Secondary,Separated,Own House,1,0,Cleaning staff,1,1,45.0
2903,5112861,F,Y,Y,0,270000.0,Working,Secondary,Separated,Own House,1,0,Cleaning staff,1,1,45.0
2923,5008998,F,Y,Y,0,270000.0,Working,Higher education,Married,Own House,0,1,Managers,2,1,29.0
2927,5008999,F,Y,Y,0,270000.0,Working,Higher education,Married,Own House,0,1,Managers,2,1,29.0
2931,5009000,M,Y,Y,0,157500.0,Working,Secondary,Married,Own House,0,0,Drivers,2,1,27.0
2954,5009001,M,N,Y,0,166500.0,Working,Secondary,Married,Own House,1,0,Laborers,2,1,51.0
2961,5009002,M,N,Y,0,166500.0,Working,Secondary,Married,Own House,1,0,Laborers,2,1,51.0
2968,5009005,M,N,Y,0,166500.0,Working,Secondary,Married,Own House,1,0,Laborers,2,1,51.0
2975,5009006,M,N,Y,0,166500.0,Working,Secondary,Married,Own House,1,0,Laborers,2,1,51.0
2986,5009007,M,N,Y,0,166500.0,Working,Secondary,Married,Own House,1,0,Laborers,2,1,51.0
2997,5009008,M,N,Y,0,166500.0,Working,Secondary,Married,Own House,1,0,Laborers,2,1,51.0
3004,5009009,M,N,Y,0,166500.0,Working,Secondary,Married,Own House,1,0,Laborers,2,1,51.0
3015,5009010,M,N,Y,0,166500.0,Working,Secondary,Married,Own House,1,0,Laborers,2,1,51.0
3022,5009012,M,N,Y,0,166500.0,Working,Secondary,Married,Own House,1,0,Laborers,2,0,51.0
3028,5009014,M,N,Y,0,166500.0,Working,Secondary,Married,Own House,1,0,Laborers,2,1,51.0
3250,5009027,F,Y,Y,0,270000.0,Commercial associate,Secondary,Married,Own House,0,1,Laborers,2,0,54.0
3272,5112862,F,Y,Y,0,270000.0,Commercial associate,Secondary,Married,Own House,0,1,Laborers,2,1,54.0
3301,5009028,F,Y,Y,0,225000.0,Commercial associate,Secondary,Married,Own House,0,0,Laborers,2,1,39.0
3312,5009029,F,Y,Y,0,225000.0,Commercial associate,Secondary,Married,Own House,0,0,Laborers,2,1,39.0
3328,5009031,F,N,Y,0,315000.0,Working,Secondary,Single,Own House,0,0,Accountants,1,1,28.0
3342,5009032,F,N,Y,0,315000.0,Working,Secondary,Single,Own House,0,0,Accountants,1,1,28.0
3449,5009039,F,N,Y,2,157500.0,Working,Secondary,Single,Own House,0,0,Core staff,3,1,39.0
3458,5009040,F,N,Y,2,157500.0,Working,Secondary,Single,Own House,0,0,Core staff,3,1,39.0
3462,5009042,F,N,Y,0,148500.0,Working,Higher education,Married,Own House,0,0,Core staff,2,1,48.0
3483,5009043,F,N,Y,0,148500.0,Working,Higher education,Married,Own House,0,0,Core staff,2,1,48.0
3502,5009044,F,N,Y,0,148500.0,Working,Higher education,Married,Own House,0,0,Core staff,2,1,48.0
3517,5009045,F,N,Y,0,148500.0,Working,Higher education,Married,Own House,0,0,Core staff,2,1,48.0
3532,5009046,F,N,Y,0,148500.0,Working,Higher education,Married,Own House,0,0,Core staff,2,0,48.0
3540,5009047,F,N,Y,0,148500.0,Working,Higher education,Married,Own House,0,0,Core staff,2,0,48.0
3552,5009050,F,N,Y,2,202500.0,Working,Higher education,Married,Own House,0,1,Core staff,4,1,30.0
3566,5009051,F,N,Y,2,202500.0,Working,Higher education,Married,Own House,0,1,Core staff,4,1,30.0
3609,5009052,F,N,Y,2,202500.0,Working,Higher education,Married,Own House,0,1,Core staff,4,1,30.0
3657,5009053,F,N,Y,2,202500.0,Working,Higher education,Married,Own House,0,1,Core staff,4,1,30.0
3671,5009055,F,N,Y,2,202500.0,Working,Higher education,Married,Own House,0,1,Core staff,4,1,30.0
3685,5009056,M,N,Y,0,202500.0,Working,Secondary,Single,Own House,1,0,Drivers,1,0,24.0
3695,5009057,M,N,Y,0,202500.0,Working,Secondary,Single,Own House,1,0,Drivers,1,0,24.0
3705,5009058,F,Y,Y,0,112500.0,Commercial associate,Secondary,Single,Own House,0,1,Private service staff,1,1,20.0
3710,5009062,M,Y,Y,0,315000.0,Working,Secondary,Civil marriage,Own House,0,0,Sales staff,2,1,28.0
3748,5009063,M,Y,Y,0,315000.0,Working,Secondary,Civil marriage,Own House,0,0,Sales staff,2,1,28.0
3776,5009064,M,Y,Y,0,315000.0,Working,Secondary,Civil marriage,Own House,0,0,Sales staff,2,1,28.0
3781,5009065,M,Y,Y,0,315000.0,Working,Secondary,Civil marriage,Own House,0,0,Sales staff,2,1,28.0
3792,5009066,M,Y,Y,0,315000.0,Working,Secondary,Civil marriage,Own House,0,0,Sales staff,2,0,28.0
3808,5009067,M,Y,Y,0,315000.0,Working,Secondary,Civil marriage,Own House,0,0,Sales staff,2,1,28.0
3813,5009068,M,Y,Y,0,315000.0,Working,Secondary,Civil marriage,Own House,0,0,Sales staff,2,1,28.0
3836,5009069,M,Y,Y,0,315000.0,Working,Secondary,Civil marriage,Own House,0,0,Sales staff,2,1,28.0
3872,5009070,M,Y,Y,0,315000.0,Working,Secondary,Civil marriage,Own House,0,0,Sales staff,2,1,28.0
3910,5009071,F,Y,Y,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,0,1,High skill tech staff,2,1,28.0
3931,5009072,F,Y,Y,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,0,1,High skill tech staff,2,1,28.0
4002,5009078,M,N,Y,1,180000.0,Working,Secondary,Married,With parents,0,0,Drivers,3,1,38.0
4033,5009079,F,N,Y,0,112500.0,Working,Higher education,Civil marriage,Own House,0,1,Laborers,2,1,27.0
4077,5009080,F,N,Y,0,112500.0,Working,Higher education,Civil marriage,Own House,0,1,Laborers,2,1,27.0
4093,5009081,F,N,Y,0,112500.0,Working,Higher education,Civil marriage,Own House,0,1,Laborers,2,1,27.0
4110,5009083,M,N,Y,0,90000.0,Working,Secondary,Married,Own House,0,0,Drivers,2,1,56.0
4158,5009084,M,N,Y,0,90000.0,Working,Secondary,Married,Own House,0,0,Drivers,2,0,56.0
4161,5009088,M,Y,N,2,202500.0,Commercial associate,Higher education,Married,Own House,0,0,Laborers,4,1,40.0
4202,5009089,M,Y,N,2,202500.0,Commercial associate,Higher education,Married,Own House,0,0,Laborers,4,0,40.0
4242,5009090,M,Y,Y,0,247500.0,Working,Secondary,Married,Own House,0,0,Drivers,2,0,34.0
4268,5009096,F,N,Y,1,270000.0,Commercial associate,Secondary,Married,Own House,0,1,Accountants,3,1,37.0
4293,5009097,F,N,Y,1,270000.0,Commercial associate,Secondary,Married,Own House,0,1,Accountants,3,1,37.0
4308,5009098,F,N,Y,1,270000.0,Commercial associate,Secondary,Married,Own House,0,1,Accountants,3,1,37.0
4326,5009099,F,N,Y,0,315000.0,Working,Higher education,Separated,Own House,0,0,Managers,1,1,36.0
4355,5009100,F,N,Y,0,315000.0,Working,Higher education,Separated,Own House,0,0,Managers,1,1,36.0
4383,5009103,M,Y,Y,2,157500.0,Working,Secondary,Married,With parents,0,0,Drivers,4,1,35.0
4422,5009104,M,Y,Y,2,157500.0,Working,Secondary,Married,With parents,0,0,Drivers,4,1,35.0
4450,5009105,M,Y,Y,2,157500.0,Working,Secondary,Married,With parents,0,0,Drivers,4,1,35.0
4481,5009106,M,Y,Y,2,157500.0,Working,Secondary,Married,With parents,0,0,Drivers,4,1,35.0
4542,5112876,M,Y,Y,2,157500.0,Working,Secondary,Married,With parents,0,0,Drivers,4,1,35.0
4568,5009108,M,N,Y,0,360000.0,Commercial associate,Secondary,Married,Own House,0,0,Security staff,2,0,41.0
4576,5009109,M,N,Y,0,360000.0,Commercial associate,Secondary,Married,Own House,0,0,Security staff,2,1,41.0
4597,5009110,F,N,Y,0,112500.0,Commercial associate,Higher education,Married,Own House,0,1,High skill tech staff,2,0,24.0
5010,5009141,F,N,N,0,135000.0,Working,Secondary,Civil marriage,Own House,1,0,Managers,2,1,26.0
5044,5009142,F,N,N,0,135000.0,Working,Secondary,Civil marriage,Own House,1,0,Managers,2,1,26.0
5079,5009145,M,Y,N,0,315000.0,Working,Higher education,Married,Own House,1,0,Managers,2,1,43.0
5115,5009146,M,Y,N,0,315000.0,Working,Higher education,Married,Own House,1,0,Managers,2,1,43.0
5141,5009147,M,Y,N,0,315000.0,Working,Higher education,Married,Own House,1,0,Managers,2,1,43.0
5154,5009149,M,Y,N,0,315000.0,Working,Higher education,Married,Own House,1,0,Managers,2,1,43.0
5162,5009150,M,Y,N,0,315000.0,Working,Higher education,Married,Own House,1,0,Managers,2,1,43.0
5180,5009151,F,N,N,0,180000.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,1,53.0
5210,5009152,F,N,N,0,180000.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,1,53.0
5258,5009153,F,N,N,0,180000.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,1,53.0
5306,5009154,F,N,N,0,180000.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,1,53.0
5335,5009155,F,N,N,0,180000.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,1,53.0
5363,5009156,F,N,N,0,180000.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,1,53.0
5381,5009157,F,N,N,0,180000.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,1,53.0
5429,5009158,F,N,N,0,180000.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,1,53.0
5473,5009159,F,N,N,0,180000.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,1,53.0
5488,5009160,F,N,N,0,180000.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,1,53.0
5510,5009161,F,N,N,0,180000.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,1,53.0
5534,5009162,F,N,N,0,180000.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,1,53.0
5582,5009163,F,N,N,0,157500.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,0,35.0
5595,5009164,F,N,N,0,157500.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,0,35.0
5612,5009165,F,N,N,0,157500.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,0,35.0
5629,5009166,F,N,N,0,157500.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,0,35.0
5646,5009168,F,N,N,0,157500.0,Working,Secondary,Married,Own House,0,0,Sales staff,2,0,35.0
5677,5009177,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,Laborers,2,1,50.0
5727,5009178,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,Laborers,2,0,50.0
5762,5009179,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,Laborers,2,1,50.0
5775,5009180,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,Laborers,2,1,50.0
5814,5009181,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,Laborers,2,0,50.0
5827,5009182,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,Laborers,2,1,50.0
5862,5009183,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,Laborers,2,1,50.0
5894,5009186,F,N,N,0,270000.0,Working,Higher education,Married,Own House,1,0,Managers,2,0,48.0
5898,5009187,F,N,N,0,270000.0,Working,Higher education,Married,Own House,1,0,Managers,2,0,48.0
5904,5009188,F,N,N,0,270000.0,Working,Higher education,Married,Own House,1,0,Managers,2,1,48.0
5921,5009189,F,N,N,0,270000.0,Working,Higher education,Married,Own House,1,0,Managers,2,1,48.0
5938,5009190,F,N,N,0,270000.0,Working,Higher education,Married,Own House,1,0,Managers,2,1,48.0
